Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Position_Size,P&L,R_Multiple,Exit_Reason
2025-01-21 16:00:00+00:00,2025-01-28 08:00:00+00:00,long,1.042535424232483,1.042535424232483,1.042535424232483,1.0637818677723407,17603.42172296769,-1.2322395206077383,0.0,stop_loss
2025-01-30 11:00:00+00:00,2025-01-30 13:00:00+00:00,short,1.0395010709762573,1.0437095698714256,1.0437095698714256,1.0289798237383367,35733.78142932115,-152.88694436553524,-1.0166330090000417,stop_loss
2025-01-28 01:00:00+00:00,2025-02-13 06:00:00+00:00,short,1.0441683530807495,1.0441683530807495,1.0441683530807495,1.0194754070043568,15227.432035953228,-1.0659202425167258,0.0,stop_loss
2025-02-25 13:00:00+00:00,2025-02-27 13:00:00+00:00,long,1.0503098964691162,1.045502144396305,1.045502144396305,1.062329276651144,30799.484759991006,-150.23225062956138,-1.0145598190047829,stop_loss
2025-02-24 14:00:00+00:00,2025-03-03 12:00:00+00:00,short,1.0462440252304077,1.0462440252304077,1.0462440252304077,1.027850354760885,20125.983954876952,-1.4088188768413865,0.0,stop_loss
2025-03-03 04:00:00+00:00,2025-03-04 18:00:00+00:00,long,1.0421009063720703,1.0579749432206151,1.0421009063720703,1.0579749432206151,22965.61428076267,362.9494143426405,0.0,take_profit
2025-03-12 20:00:00+00:00,2025-03-14 10:00:00+00:00,short,1.0889687538146973,1.0889687538146973,1.0889687538146973,1.076887356489897,31297.272120674807,-2.1908090484472362,0.0,stop_loss
2025-03-24 10:00:00+00:00,2025-03-24 13:00:00+00:00,long,1.0850694179534912,1.0799567779302597,1.0799567779302597,1.09785101801157,29576.314594040618,-153.28339175476168,-1.013691556550417,stop_loss
2025-03-19 09:00:00+00:00,2025-03-26 17:00:00+00:00,short,1.0905125141143799,1.0768989671766758,1.0905125141143799,1.0768989671766758,27768.855983149184,376.0888044141266,0.0,take_profit
2025-03-25 20:00:00+00:00,2025-03-27 11:00:00+00:00,short,1.079563856124878,1.079563856124878,1.079563856124878,1.0688535821437837,34759.56803712914,-2.4331697625990394,0.0,stop_loss
