Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
14,2024-06-24 10:00:00+01:00,2024-06-26 14:00:00+01:00,long,1.0725010633468628,1.067613704621792,-139.43718016999057,-1.3943718016999058,-1.0143226646411114,stop_loss
15,2024-06-25 14:00:00+01:00,2024-07-01 02:00:00+01:00,short,1.0704345703125,1.0753439742922781,-139.42833894107073,-1.3942833894107074,-1.0142583499521185,stop_loss
16,2024-06-13 15:00:00+01:00,2024-07-01 07:00:00+01:00,short,1.0773539543151855,1.0773539543151855,-1.3821281769232119,-0.013821281769232118,0.0,stop_loss
17,2024-07-16 15:00:00+01:00,2024-07-17 08:00:00+01:00,short,1.088139295578003,1.0912958310842513,-136.2198565230988,-1.362198565230988,-1.0221762118187596,stop_loss
18,2024-07-18 16:00:00+01:00,2024-07-24 09:00:00+01:00,short,1.0915838479995728,1.0830474314093592,325.36305034180094,3.253630503418009,0.0,take_profit
19,2024-07-23 10:00:00+01:00,2024-07-25 18:00:00+01:00,short,1.087074637413025,1.087074637413025,-2.710720897788479,-0.02710720897788479,0.0,stop_loss
20,2024-08-02 11:00:00+01:00,2024-08-05 08:00:00+01:00,long,1.082602620124817,1.0950391770899293,338.2380297542477,3.382380297542477,0.0,take_profit
21,2024-08-06 11:00:00+01:00,2024-08-13 19:00:00+01:00,short,1.0911074876785278,1.0992089644074439,-142.35407059757088,-1.4235407059757088,-1.0086404000581959,stop_loss
22,2024-09-11 07:00:00+01:00,2024-09-11 13:00:00+01:00,long,1.1048502922058105,1.1012560947537422,-141.70642760335818,-1.4170642760335816,-1.019475835964359,stop_loss
23,2024-09-12 16:00:00+01:00,2024-09-17 09:00:00+01:00,long,1.1043622493743896,1.114249393939972,339.7616285412616,3.3976162854126155,0.0,take_profit
24,2024-09-19 09:00:00+01:00,2024-10-01 14:00:00+01:00,long,1.1164453029632568,1.1068660193681719,-143.00756564876275,-1.4300756564876276,-1.0073074358124148,stop_loss
25,2024-09-25 19:00:00+01:00,2024-10-10 15:00:00+01:00,short,1.1135857105255127,1.092200087308884,353.76356897484504,3.53763568974845,0.0,take_profit
26,2024-10-28 13:00:00+00:00,2024-10-29 12:00:00+00:00,long,1.08236825466156,1.077976629316807,-147.4447808196303,-1.474447808196303,-1.0159394289140882,stop_loss
27,2024-10-29 12:00:00+00:00,2024-10-30 08:00:00+00:00,short,1.0780508518218994,1.083495764672756,-146.99728359582502,-1.4699728359582502,-1.0128560368030475,stop_loss
28,2024-10-25 20:00:00+01:00,2024-10-30 09:00:00+00:00,short,1.0797970294952393,1.084788043141365,-147.16696699673003,-1.4716696699673004,-1.0140252070948228,stop_loss
29,2024-11-07 14:00:00+00:00,2024-11-08 17:00:00+00:00,long,1.08119797706604,1.0710458112955095,-139.46235183454496,-1.3946235183454496,-1.0068950804766403,stop_loss
30,2024-11-08 14:00:00+00:00,2024-11-12 17:00:00+00:00,short,1.075384497642517,1.0597918085753917,344.71383490499926,3.4471383490499927,0.0,take_profit
31,2024-11-15 10:00:00+00:00,2024-11-21 16:00:00+00:00,long,1.057753324508667,1.0509989959597588,-143.053464253954,-1.43053464253954,-1.010363724461007,stop_loss
32,2024-11-20 10:00:00+00:00,2024-11-22 09:00:00+00:00,short,1.0551862716674805,1.0387425021827226,352.458456320696,3.5245845632069597,0.0,take_profit
33,2024-11-13 16:00:00+00:00,2024-11-27 13:00:00+00:00,short,1.056859016418457,1.056859016418457,-1.0902900930545119,-0.010902900930545118,0.0,stop_loss
34,2024-11-29 19:00:00+00:00,2024-12-02 00:00:00+00:00,long,1.0583131313323975,1.0539913211464882,-147.05469460404845,-1.4705469460404845,-1.0161969167984808,stop_loss
35,2024-11-27 09:00:00+00:00,2024-12-02 07:00:00+00:00,long,1.051745891571045,1.051745891571045,-1.6225677144556006,-0.016225677144556003,0.0,stop_loss
36,2024-12-04 10:00:00+00:00,2024-12-04 15:00:00+00:00,short,1.0503098964691162,1.0541565708518028,-145.07346369222913,-1.450734636922291,-1.0181975371544472,stop_loss
37,2024-12-02 03:00:00+00:00,2024-12-06 13:00:00+00:00,short,1.0526316165924072,1.0603009464740754,-143.80568581514774,-1.4380568581514774,-1.0091272641912716,stop_loss
38,2024-12-03 11:00:00+00:00,2024-12-10 12:00:00+00:00,long,1.0526316165924072,1.0526316165924072,-1.4903936620823806,-0.014903936620823805,0.0,stop_loss
39,2024-11-26 10:00:00+00:00,2024-12-10 13:00:00+00:00,long,1.0519671440124512,1.0519671440124512,-1.076662234357838,-0.01076662234357838,0.0,stop_loss
40,2024-12-16 15:00:00+00:00,2024-12-18 15:00:00+00:00,long,1.0508617162704468,1.0474743099808694,-140.9629647061826,-1.409629647061826,-1.0206647783040912,stop_loss
